#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="treePrior" ntaxa="30" spec="gammaspike.tree.BirthDeathStubSimulator">
#        <parameter id="r0" lower="0.0" name="r0" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#        <parameter id="RealParameter" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="0.0">0.0</parameter>
#        <parameter id="lambda" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <tree id="tree" spec="beast.base.evolution.tree.Tree">
#            <taxonset id="TaxonSet">
#            </taxonset>
#        </tree>
#    </distribution>
#    <prior id="Prior" name="distribution" x="@lambda">
#        <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant" spec="beast.base.core.Function$Constant" value="10.0"/>
#            <S id="Function$Constant1" spec="beast.base.core.Function$Constant" value="0.5"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior1" name="distribution" x="@r0">
#        <LogNormal id="LogNormalDistributionModel1" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant2" spec="beast.base.core.Function$Constant" value="4.0"/>
#            <S id="Function$Constant3" spec="beast.base.core.Function$Constant" value="0.5"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior2" name="distribution">
#        <parameter id="omega" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <LogNormal id="LogNormalDistributionModel2" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant4" spec="beast.base.core.Function$Constant" value="1.0"/>
#            <S id="Function$Constant5" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior3" name="distribution">
#        <parameter id="gammaShape" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <Exponential id="Exponential" name="distr">
#            <mean id="Function$Constant6" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </Exponential>
#    </prior>
#    <prior id="Prior4" name="distribution">
#        <parameter dimension="61" id="frequencies.codon" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.01639344</parameter>
#        <Dirichlet id="Dirichlet" name="distr">
#            <alpha id="Function$Constant7" spec="beast.base.core.Function$Constant" value="2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0"/>
#        </Dirichlet>
#    </prior>
#    <prior id="Prior5" name="distribution">
#        <parameter dimension="6" id="rates.codon.1" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#        <Dirichlet id="Dirichlet1" name="distr">
#            <alpha id="Function$Constant8" spec="beast.base.core.Function$Constant" value="1.0 4.0 1.0 1.0 4.0 1.0"/>
#        </Dirichlet>
#    </prior>
#    <prior id="Prior6" name="distribution">
#        <parameter dimension="6" id="rates.codon.2" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#        <Dirichlet id="Dirichlet2" name="distr">
#            <alpha id="Function$Constant9" spec="beast.base.core.Function$Constant" value="1.0 4.0 1.0 1.0 4.0 1.0"/>
#        </Dirichlet>
#    </prior>
#    <prior id="Prior7" name="distribution">
#        <parameter dimension="6" id="rates.codon.3" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#        <Dirichlet id="Dirichlet3" name="distr">
#            <alpha id="Function$Constant10" spec="beast.base.core.Function$Constant" value="1.0 4.0 1.0 1.0 4.0 1.0"/>
#        </Dirichlet>
#    </prior>
#</input>
#
Sample	lambda	r0	branchRates.1	branchRates.2	branchRates.3	branchRates.4	branchRates.5	branchRates.6	branchRates.7	branchRates.8	branchRates.9	branchRates.10	branchRates.11	branchRates.12	branchRates.13	branchRates.14	branchRates.15	branchRates.16	branchRates.17	branchRates.18	branchRates.19	branchRates.20	branchRates.21	branchRates.22	branchRates.23	branchRates.24	branchRates.25	branchRates.26	branchRates.27	branchRates.28	branchRates.29	branchRates.30	branchRates.31	branchRates.32	branchRates.33	branchRates.34	branchRates.35	branchRates.36	branchRates.37	branchRates.38	branchRates.39	branchRates.40	branchRates.41	branchRates.42	branchRates.43	branchRates.44	branchRates.45	branchRates.46	branchRates.47	branchRates.48	branchRates.49	branchRates.50	branchRates.51	branchRates.52	branchRates.53	branchRates.54	branchRates.55	branchRates.56	branchRates.57	branchRates.58	branchRates.59	clockSD	gammaShape	rates.codon.1.1	rates.codon.1.2	rates.codon.1.3	rates.codon.1.4	rates.codon.1.5	rates.codon.1.6	rates.codon.2.1	rates.codon.2.2	rates.codon.2.3	rates.codon.2.4	rates.codon.2.5	rates.codon.2.6	rates.codon.3.1	rates.codon.3.2	rates.codon.3.3	rates.codon.3.4	rates.codon.3.5	rates.codon.3.6	frequencies.codon.1	frequencies.codon.2	frequencies.codon.3	frequencies.codon.4	frequencies.codon.5	frequencies.codon.6	frequencies.codon.7	frequencies.codon.8	frequencies.codon.9	frequencies.codon.10	frequencies.codon.11	frequencies.codon.12	frequencies.codon.13	frequencies.codon.14	frequencies.codon.15	frequencies.codon.16	frequencies.codon.17	frequencies.codon.18	frequencies.codon.19	frequencies.codon.20	frequencies.codon.21	frequencies.codon.22	frequencies.codon.23	frequencies.codon.24	frequencies.codon.25	frequencies.codon.26	frequencies.codon.27	frequencies.codon.28	frequencies.codon.29	frequencies.codon.30	frequencies.codon.31	frequencies.codon.32	frequencies.codon.33	frequencies.codon.34	frequencies.codon.35	frequencies.codon.36	frequencies.codon.37	frequencies.codon.38	frequencies.codon.39	frequencies.codon.40	frequencies.codon.41	frequencies.codon.42	frequencies.codon.43	frequencies.codon.44	frequencies.codon.45	frequencies.codon.46	frequencies.codon.47	frequencies.codon.48	frequencies.codon.49	frequencies.codon.50	frequencies.codon.51	frequencies.codon.52	frequencies.codon.53	frequencies.codon.54	frequencies.codon.55	frequencies.codon.56	frequencies.codon.57	frequencies.codon.58	frequencies.codon.59	frequencies.codon.60	frequencies.codon.61	omega	tree.height	tree.treeLength
0	9.672642158058409	2.677485476070036	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.3096361555915224	0.08339315850154741	0.5253884924995679	0.05205113760046247	0.03275768754282723	0.2225753192581229	0.08383420459747207	0.07081030166987017	0.11227523713867249	0.04661632061562402	0.017862607401278922	0.6332801634199894	0.119155369754565	5.109033722142963E-4	0.38946801964683586	0.041888321365000945	0.00830623874125038	0.4946294301036394	0.06519708677105912	0.010275978794744615	0.033214987359086366	0.0033565265072953566	0.007154721596294774	0.024197270463602212	0.013340820278027668	0.0040561044321446365	0.013882894509859892	0.022861714284491418	0.030583396204092828	0.02557275236199782	0.0033896659200592046	0.00821250829647856	0.007530137069011634	0.007155866482733009	0.017780206894570966	0.01363522833339616	0.020726573782533605	0.0119235344441635	0.019341886357638255	0.011493387387176231	0.02160159060877847	0.005818366693277641	0.014358737308137368	0.007795241431356006	0.036545582362834575	0.004525820339112029	0.020549062831581796	0.01661560115906196	0.0060918168075059535	0.028818081639136527	0.005914163974888326	0.02855929174814318	0.03326185565676376	0.0304130465382223	0.029298756606481565	0.0064348775831793645	0.02459043904075659	0.012779829077280643	0.002974873442238574	0.00929749372334466	0.00690599525742748	0.011273411247012038	0.022413570545707372	0.05474594730856226	0.017138198222506867	0.012713198218666932	0.009917647206996876	0.002376693099768221	0.04290476972109669	0.022131934013333725	0.03270321998430666	9.873115068784678E-4	0.00808287071581958	0.01563156738383726	0.022108789146197436	0.02893696641471615	0.011205386390543156	0.009865428343506106	0.0070747897272640725	0.004951615214372895	0.5710349406399646	0.2825600428210187	2.7672515579800603
1	17.397044267865624	3.524130560534199	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.03071900730747864	0.15755585444271664	0.4897549758222159	0.04250923732111302	0.01949294587601383	0.2598309758876329	0.030856010650307755	0.09644354517981428	0.3974656989393537	0.3401639994364608	0.013788990626298514	0.1506606235810568	0.0014771422370158552	0.12175245086066615	0.2650666360393066	0.07679695957475785	0.0202705983278663	0.4855038539538399	0.03060950124356325	0.01761040189936645	0.002047457533325375	0.015674195240160088	0.015776468476070366	0.023033710181188802	0.013731810824972065	0.01895935624814127	0.010076658510036458	0.021067693750217675	0.00876742701853484	0.01978824337334914	0.021271180961485447	0.01618144879782939	0.010926766962743764	0.023855105588015624	0.008533825634560612	0.015079221640911036	0.016957885524882404	0.031694452400133424	0.006862348721707848	0.038996217562151575	0.05202034706557408	0.004033218027401812	0.01665282898651558	0.015424572041199373	0.026158327802659073	0.022609271258855323	0.032819646979822856	0.030175074190092015	0.01460989673109088	0.00879497654854757	0.03217810873477142	0.0022251222730647786	0.013115212836594344	0.029527075557086457	0.008316971916457583	0.016620061215097074	0.01122267257864835	0.015037870315669638	0.01352282210824822	0.009111081001847265	0.003251329643647638	0.014903435246249522	0.016371501349941912	0.01693499984350567	0.03354762407715168	0.018556850830382367	0.01560140210649793	0.013292559160217978	0.026008603271533138	0.0025665504297324036	0.01784644649876712	0.013839115706711364	0.002610207133746848	0.009494708872394033	0.019494087622871206	0.010153860095923355	0.005266779115420798	0.009221149576536806	0.004714418945837011	0.015257335453904336	0.9443649225265509	0.1999293699932831	2.3571772557027826
2	17.6071118776413	3.888289192044773	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	1.1082803986608014	0.030672609639357622	0.2836031025261312	0.0965918829478977	0.013638634146051829	0.4748333875819493	0.10066038315861235	0.08542853889059396	0.2846487507843158	0.04705224349681438	0.07096073476431287	0.4503430758931783	0.061566656170784696	0.036053643423091565	0.51066734071877	0.1407801777632218	0.04956371757327766	0.2500244442881756	0.012910676233463241	0.006924850165147661	0.017869945616153557	0.04413863165546236	0.030810268242481717	0.003883909765758323	0.016199402719385022	0.020309221238927536	0.0033203145441219415	0.01253914399723867	0.008217308856651432	0.0054461496653124076	0.006449423576196216	0.026750248159967484	0.017684133174539117	0.019856159364514802	0.0031012177933596014	0.017783587626675167	0.012530243928754917	0.0052837091973700215	0.004213143275885889	0.0034150743745614788	0.019194491701565945	0.0016859026983569666	0.015357100107790527	0.02127141415975566	0.019582890705747123	0.04265879893706631	0.020630576038597123	0.00794289261218782	0.005583195483429035	0.02944136460955013	0.012406297051878358	0.012366699151843767	0.023209951054750926	0.0205145586580189	0.006153280580861645	0.01826383132093008	0.010378853710608461	0.017208610612255888	0.01591294221901065	0.06558092534100603	0.0033589171018706555	0.025754749295415345	0.02232050055230066	0.011929674799978113	0.007543062595723132	0.003596618297693497	0.0014317744712428614	0.014696050510727464	0.004528186454835541	0.025538323262756825	0.03439651977829813	0.04077319728692309	0.015585173382228862	0.007204333146475705	0.0027990542545018576	0.054790720420280416	0.019947584141707046	0.0048871398674502796	0.022471895178879757	0.004375861507034411	0.16109129476964873	0.2794715718618684	2.095014832532264
3	4.8804469148192595	13.235874506241657	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.570890781496153	0.03418795750107209	0.24619965423890175	0.17425429653201852	0.15051847356283762	0.35548938462282226	0.03935023354234769	0.04161373669603719	0.3426008368920338	0.20021333739166491	0.2583890396589929	0.022519935565752956	0.1346631137955183	0.11436389973451473	0.5194512257473765	0.011511014185590997	0.10915498409647263	0.19244218196478918	0.05307669427125582	0.003927044164008352	0.022117734766464402	0.005968239522776461	0.006062581697960806	0.006441890368286862	0.04036384674008759	0.03076430155965043	0.006341268294034301	0.03891505375287225	0.007403058240691001	0.018020007991475035	0.020924052871124338	0.006417881436553729	0.020129125374754604	0.025541512470640126	0.02458337259363458	0.013901138762479684	0.007359630830559957	0.005362738000301209	0.0060457001269902284	0.0031956705657501896	0.03602081082711842	0.012612436550565612	0.022520231642058346	0.027664112514912957	0.027663490257858452	0.03591591528861343	0.012137316400811287	0.008249623762987783	0.02936332022456331	0.01709788915952062	0.01972616039796763	0.030241885769557036	0.008461396702911909	0.02231370370635608	0.014694964868701003	0.03362919311981234	0.008911241862440628	0.021684762162216327	0.016717677412095573	0.008926804447405064	0.015127686576534365	0.006438404001428312	0.004911452057030339	0.00496089878217394	0.0029270336869886677	0.029774809720428484	0.013746823225987267	0.033315326882468965	0.004020511015503188	0.014280638337408984	0.030808631193885962	0.006563701775493092	0.00785613191861248	0.0041718866318892584	0.008049948179459332	0.005830675828808699	0.03748153727091679	0.0025634980506106875	0.01527043527990454	0.017561182374896605	1.2858815998438677	0.6275807275073094	6.406167052961839
4	11.590446852891258	3.436464108077939	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.6519497067515185	0.05715019897621337	0.3957380785933495	0.27241925851885634	0.047771693779313354	0.20651157200055717	0.020409198131710295	0.2970993318288839	0.21144449924879846	0.014801673890468192	0.12811087144283761	0.2434520183604207	0.10509160522859107	0.03145472682761611	0.3629691932889748	0.0841043361666093	0.20098725585156474	0.1944006270871399	0.12608386077809508	0.025239203313094826	0.017145222888412862	0.0017828657291619906	0.04291456248332706	0.00402052674044719	0.020336979458080922	0.019353415890722966	0.01499658858571437	0.019539064884089803	0.009755365131542158	0.008432619486808153	0.008867775061747303	0.004859929128086425	0.0109675721893248	0.004352445467104581	0.017640684631026752	0.03838795272877314	0.030424169795339642	0.018989209523447938	0.024800886973652167	0.01712350247315879	0.006047119811028811	9.750394758416947E-4	0.025200491139684734	0.007357850761149005	0.007014963720483554	0.017058555297336356	0.0046497760450187236	0.01735928046260013	0.008315871716873717	0.006278299195487269	0.01102980889225939	0.009124593380202205	0.033999724346228714	0.01512342742245519	0.011359077328416187	0.028414066982025893	0.010332815133118562	0.0227572249743602	0.02459247912198572	0.03229411497173123	0.010157232987806294	0.022902326298954678	0.01956119568473947	0.0076756008087141775	0.018700965851506473	0.012462089089527282	0.022844462669776803	0.002180148689142936	0.02611812272271442	0.012322994807094407	0.006339847401084899	0.01684824128339833	0.05279769024899034	0.03170289272221581	0.03182718780519923	0.0028273870463573045	0.005836473749527108	0.0017185515824132945	0.010477299990870726	0.025484165818614936	0.9038766164794169	0.2953268155982839	2.8815313179029625
5	4.8007753077956306	1.6110975919409083	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	1.530412651920548	0.154559523893442	0.11110979975888682	0.016413003677819168	0.056237816369910654	0.3157845106763684	0.3458953456235729	0.03693736007088924	0.47707481936016716	0.07433217089412382	0.007433806428464305	0.1584102509831039	0.2458115922632516	0.06754341087137428	0.5175301910002629	0.017772414187043912	0.003928841158249175	0.34762041971977087	0.045604723063298894	0.014723625259099475	0.02686309348556898	0.013598502608225286	0.007193531174222658	0.010351755224764206	0.021708060410876924	0.023432007681102547	0.004562937339360172	0.01014030171320247	0.02952260029484098	0.00808078248787722	0.013936992169843097	0.004284440892602139	0.00847965147716378	0.010869423049811406	0.007970693410687377	0.0027695616855480647	0.03718253458260157	0.006474720902794046	0.001961020805886825	0.006567169285836682	0.03146118399897644	0.014863871339820442	0.009491142417885007	0.020976044376046936	0.011871348216129571	0.01228952100960587	0.014713361661141486	0.015708036683691744	0.016062532384302188	0.004992567078536212	0.004492904821865817	0.014776823146128368	0.006422231762629403	0.0059401070228235	0.023717566778975185	0.015265879080587868	0.009956123807181352	0.019529500370934184	0.03811088154955584	0.00968525594107107	0.017641085562338316	0.024199178169180793	0.011876240415852515	0.012016080639324413	0.016288392679905523	0.049563749606660365	0.07122167520688655	0.023849215426688043	0.01999368587830647	0.012739946387872937	0.005361080712335294	0.0011379869882378402	0.01268041954217893	8.046495921262491E-4	0.013385987936855035	0.01676652562644695	0.06190215188545688	0.0046289110671376395	0.02827667191955309	0.024666075366852027	0.3720175950268403	1.9910047087380756	10.351446527368095
6	13.715615906822203	3.216648467717081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	1.6149848951956907	0.11125949753087197	0.4681350852619931	0.06930770916605199	0.03512351222895336	0.09202790714434979	0.22414628866777966	3.599694424661447E-4	0.1310453422109862	0.3095986868146494	0.03668386224953019	0.3823354903278488	0.13997664895451928	0.017429747307733272	0.3937978874881956	0.19234516357679615	0.2140238869699971	0.17371025178772054	0.008693062869557372	0.018342107166854114	0.024273729653405216	0.013882701396881065	0.019355033741977813	0.03273087978968518	0.00128861542485214	0.011341069049210463	0.019772887361260105	0.01730858838048648	0.01763347962192325	0.013989133510638546	0.00190677300918344	0.010498145870727582	0.007012173093626721	0.015087671418716713	0.017646709759673994	0.018549714141278678	0.02067699913244921	0.07384158250432962	0.016834921206873396	0.004667825132060864	0.020514697732759084	0.014706042773957245	0.010790681022331433	0.021848613548846	0.020350635120419295	0.022124555684621693	0.0043500774858847065	0.027415467066481878	0.029130419144779405	0.013493260262465986	0.011971823530474848	0.028716622218796582	0.016141914621676964	0.015440347305695998	0.03410122133193169	0.004299352322115354	0.004081544005278488	0.021447034817747766	0.025061358858517763	0.006061218762862855	0.019918627473278223	0.008371558545822855	0.02355541902402935	0.0042305247042826255	0.007345747590583131	0.002438354497914963	0.004430302229596693	0.0060271173082384385	0.009890830849489631	0.020405229433241048	0.023379787110047706	0.012842260366397911	0.01811559743478475	0.02241085636027256	0.02652871508271771	0.01165441447197115	0.014481094154502406	0.019215669162132798	0.005008923496296382	0.0110613427206601	1.518248568970733	0.2088625743314474	1.908078790239841
7	5.782889297110382	3.945353628042489	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.05666369002766334	0.06946673989025899	0.3339477422510702	0.005501561199223087	0.0035298006900433406	0.5088255008555823	0.07872865511382207	0.005766373454006934	0.5573914837692588	0.0371120661412746	0.021460376374167384	0.2676127944306065	0.11065690583068584	0.018266796875785755	0.36786951582460603	0.03414461646963469	0.03110760055809584	0.40032299502890145	0.1482884752429762	0.029871789548935653	0.009195467358668904	0.01900710344533992	0.012704580926974813	0.03825799826416537	0.010752842444049691	0.008763302526960465	0.012825632018416947	0.033625624272940476	0.008396641376370868	0.002351387080824041	0.049646340846043004	0.021506190111393805	0.009697003542407403	0.022377874019873508	0.00955665178683614	0.0064740027880303965	0.03202989708170587	0.01896235609719257	0.013110793992832022	0.02351923062724668	0.004910481174458201	0.0310597116163991	0.015674021006272836	0.021324995838308776	0.024123788630536536	0.01791152368912909	0.0044190705273905615	0.00864156452562699	0.025277376693593846	0.04986462176153745	0.0019193341198360393	7.84402133494307E-4	0.019312306227593303	0.01678979986072618	0.02394157748879813	0.021470798044951292	0.00500808194939193	0.016246686350697048	0.006258976624423062	0.013313377058782702	0.031110591539004903	0.006885677050181031	0.0033827942089729025	0.01597712189852098	0.018949325617663538	0.006748417554690392	0.02500048338309935	0.00816626759512982	0.006892991811153439	0.010516961510056549	0.001470411878984431	0.004882965238117774	0.004635503086875356	0.011204912283034447	0.026473359314325085	0.03659306979694251	0.004129447548551442	0.027972907450701048	0.007936899765810647	0.02018468598902812	0.04683646817630642	0.4823922760529028	4.541303489234049
8	11.070733980992262	3.050356817483157	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	0.33120675937294547	0.05274983554789466	0.5903892122734199	0.06362736203033685	0.030876180644324375	0.22591712772614206	0.03644028177788223	0.023523673691485846	0.6392021415695233	0.14306737489843133	0.09257211844952115	0.08525659161150762	0.016378099779530725	0.03328112915088391	0.033365590890571	0.2091511154056827	0.041913305163209076	0.638042613390109	0.04424624599954413	0.019059824877530992	0.02803551413676208	0.005519544753868998	0.011786369312218204	0.027137208191506227	0.03469337237985541	0.0035058952914091097	0.022649210667823248	0.015676270112835792	0.032940517287814025	0.01641125431911571	0.024503239287315706	0.006040851363010469	0.016716464915003237	0.02265514240280446	0.009972603174615917	0.028550006015690344	0.021527516044630907	0.012127755901489378	0.009629303444419228	0.003607514596882058	0.006299774680067052	0.014677961804061225	0.010512074833819749	0.010903059419051285	0.029011955991359493	0.034098608917608714	0.014389952735020292	0.009275835952036883	0.02894170916596006	0.015779144071861477	0.0023145442447205238	0.037407870175419584	0.011834158611440498	0.02134011828498565	0.02119690293738701	0.0060392987848842785	0.008873269079982909	0.014716017976085355	0.01838208779688244	0.013424358330368914	0.003957196750024503	0.01713992092822122	0.00880343842873847	0.022565307720767414	0.006740580108812571	0.013369335397610203	0.008018258085543383	0.01386922799304213	0.014730508540305384	0.03008689276280419	0.013917744703681251	0.019123219860988385	0.004183446053824705	0.02437883278149583	0.00465090783517813	0.00819463884113967	0.003976442037308186	0.02829256906184662	0.026295528492734973	0.02554192134632779	0.38667472839323974	0.1960959556946742	2.476433087811984
9	8.042226580778827	2.5421550887725273	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2	1.5011419971081352	0.05138817986823535	0.51250163889872	0.03182382337298278	0.1316096890302503	0.16235893252873917	0.11031773630107244	0.08127810487294919	0.5679567567549204	0.05809708016442541	0.034554860181206494	0.21786150151941494	0.04025169650708366	0.081035671523648	0.5329210127346256	0.033001883980733955	0.009772386289192825	0.27593967618703097	0.06732936928476868	0.07897150170839018	0.0023657204724912254	0.051218684786821914	0.019456853710785878	0.023490395027897088	0.014857367522289914	0.00619004988521101	0.017274859818096042	0.02199668343458848	0.008941054018251356	0.014518406795310771	0.008927823850311184	0.005807788277926909	0.009674870701722045	0.03468149158290114	0.025011761499614846	0.006672515717511018	0.009357751397591154	0.02921756591083068	0.008513332132298197	0.005274175633389539	0.02926854013637787	0.008363789567375785	0.015751877945727875	0.010943012297016143	0.008630591355035933	0.020987691337046307	0.013793100698282091	0.0154275381008625	0.006522287024042013	0.003770837092161104	0.014372548005343275	0.01046952363089555	0.016102528700466273	0.043193473149912634	0.012668367483672572	0.021210497114738176	0.015537755822663549	0.03401927874671244	0.006581053393059792	0.006217053190464202	0.028029974514350655	0.0036501863311264207	0.01865773758354204	0.017752427791759055	0.008518342842776907	0.003955140079259805	0.012885923421434582	0.01732309915265099	0.00713795640728249	0.00647853129686095	0.017905386310889757	0.030106815642050803	0.008255888753827916	0.016414956406553032	0.0017576628062221974	0.024368211113561942	0.007541007219330386	0.031813252646193	0.003661688048843172	0.017533812955397233	1.7605294548774095	0.5571365372133005	4.767741079354022
